assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -2.51168e+010 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -5.82211e+009 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -6.53437e+009 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -9.36357e+009 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -3.25074e+011 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -1.51887e+014 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.J[1]) was -7.6372e+014 should be > 0
assert            | warning | The following assertion has been violated during initialization at time 0.000000
assert            | debug   | Model error: Argument of log(MatStm1.gammac[1]) was 0 should be > 0
