assert            | debug   | Flowsheet_functions.c:109: Invalid root: (712.866)^(1.00571e+007)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (466.908)^(2.87066e+006)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (305.805)^(825763)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (200.282)^(240224)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (131.165)^(71007)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (85.8934)^(21452.3)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (56.2405)^(6668.85)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (36.8178)^(2147.33)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (24.0959)^(719.757)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (19.59)^(7576.42)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (12.7171)^(2058.93)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (8.21543)^(549.703)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (114.067)^(47708.9)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (74.7187)^(14552.3)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (48.9456)^(4579.57)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (32.0642)^(1496.48)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (21.0069)^(510.008)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (17.0732)^(5006.18)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (11.0996)^(1365.32)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (7.18692)^(366.664)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (169.576)^(148432)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (111.081)^(44251.4)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (72.7669)^(13523.3)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (47.6711)^(4266.02)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (31.2334)^(1398)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (20.4666)^(477.954)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (16.6326)^(4626.73)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (10.816)^(1262.61)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (233.402)^(374825)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (152.881)^(110136)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (100.14)^(33008.3)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (65.5952)^(10157.3)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (42.9681)^(3231.41)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (28.1473)^(1069.18)
assert            | debug   | Flowsheet_functions.c:109: Invalid root: (18.4397)^(369.198)
